,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
144,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,7,6,1,12,10,7,6,7
145,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,7,7,1,12,10,7,6,7
146,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,7,6,1,12,10,7,6,7
147,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,7,7,1,12,10,7,6,7
148,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
149,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,7,1,12,10,7,6,7
150,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
151,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
152,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,7,1,12,10,7,6,7
153,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,7,1,12,10,7,6,7
154,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,7,1,12,10,7,6,7
155,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
156,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,7,1,12,10,7,6,7
157,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,7,1,12,10,7,6,7
158,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
159,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
160,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
161,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
162,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
163,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
164,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
165,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
166,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
167,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
168,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
169,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
170,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
171,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
172,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
173,7,10,12,11,7,2,12,5,7,12,10,4,12,7,7,8,9,6,1,12,10,7,6,7
